1,/wiki/1st_Regiment_of_Foot,1st (Royal) Regiment of Foot 1751–1812 1st Regiment of Foot (Royal Scots) 1812–1821 1st or The Royal Regiment of Foot 1821–1871 1st or The Royal Scots Regiment 1871–1881 [21],1661,1661 Raised 28 March 1633 in Scotland for French service. Was on English Establishment in 1661 and in 1666–67; permanently from 1678. [21]
2,/wiki/2nd_Regiment_of_Foot,2nd (Queen's Royal) Regiment of Foot [22],1661,1661 Raised 1 October 1661 as the Tangier Regiment . [22]
3,/wiki/3rd_Regiment_of_Foot,3rd (or The Buffs) Regiment of Foot 1751–1782 3rd (East Kent – The Buffs) Regiment of Foot 1782–1881 [23],1665,1665 Raised 1572 for service in Holland. Came onto the English establishment in 1665 as The Holland Regiment. [23]
4,/wiki/4th_Regiment_of_Foot,4th (The King's Own) Regiment of Foot 1751–1867 4th (The King's Own Royal) Regiment of Foot 1867–1881 [24],1680,1680 Raised 13 July 1680 as the 2nd Tangier Regiment. [23]
5,/wiki/5th_Regiment_of_Foot,5th Regiment of Foot 1751–1782 5th (Northumberland) Regiment of Foot 1782–1836 5th (Northumberland) (Fusiliers) Regiment of Foot 1836–1881 [14] [25],1685,1685 Raised 8 August 1674 as the Irish Regiment for Dutch service. Came onto the English establishment in 1685. [25]
6,/wiki/6th_Regiment_of_Foot,6th Regiment of Foot 1751–1782 6th (1st Warwickshire) Regiment of Foot 1782–1832 6th (Royal 1st Warwickshire) Regiment of Foot 1832–1881 [26] [27],1685,1685 Raised 12 December 1673 in Ireland for Dutch service. Came onto the English establishment temporarily in 1685 and permanently in 1688. [27]
7,/wiki/7th_Regiment_of_Foot,7th (Royal Fusiliers) Regiment of Foot 1751–1881 [28],1685,"1685 Raised 11 June 1685 as the Ordnance Regiment, an escort to the Artillery Train. Became the Royal Regiment of Fuzileers in 1689. [28]"
8,/wiki/8th_Regiment_of_Foot,8th (The King's) Regiment of Foot 1751–1881 [29],1685,1685 Raised 19 June 1685 as Princess Anne of Denmark's Regiment of Foot. [29]
9,/wiki/9th_Regiment_of_Foot,9th Regiment of Foot 1751–1782 9th (East Norfolk) Regiment of Foot 1782–1881 [30],1685,1685 Raised 19 June 1685 as Henry Cornewall's Regiment of Foot. [30]
10,/wiki/10th_Regiment_of_Foot,10th Regiment of Foot 1751–1782 10th (North Lincoln) Regiment of Foot 1782–1881 [31],1685,1685 Raised 20 June 1685 as the Earl of Bath 's Regiment of Foot. [31]
11,/wiki/11th_Regiment_of_Foot,11th Regiment of Foot 1751–1782 11th (North Devonshire) Regiment of Foot 1782–1881 [32],1685,1685 Raised 20 June 1685 as the Duke of Beaufort 's Musketeers. [32]
12,/wiki/12th_Regiment_of_Foot,12th Regiment of Foot 1751–1782 12th (East Suffolk) Regiment of Foot 1782–1881 [33],1685,1685 Raised 20 June 1685 as the Duke of Norfolk 's Regiment of Foot. [33]
13,/wiki/13th_Regiment_of_Foot,13th Regiment of Foot 1751–1782 13th (1st Somersetshire) Regiment of Foot 1782–1822 [34] 13th (1st Somersetshire Light Infantry) Regiment of Foot 1822–1842 [34] 13th (1st Somersetshire) (Prince Albert's Light Infantry) Regiment of Foot 1842–1881 [34] [35],1685,1685 Raised 20 June 1685 as the Earl of Huntingdon 's Regiment of Foot. [34]
14,/wiki/14th_Regiment_of_Foot,14th Regiment of Foot 1751–1782 14th (Bedfordshire) Regiment of Foot 1782–1809 [36] 14th (Buckinghamshire) Regiment of Foot 1809–1876 [12] [36] 14th (Buckinghamshire – The Prince of Wales's Own) Regiment of Foot 1876–1881 [36] [37],1685,1685 Raised 22 June 1685 as Sir Edward Hales's Regiment of Foot. [36]
15,/wiki/15th_Regiment_of_Foot,"15th Regiment of Foot 1751–1782 15th (York, East Riding) Regiment of Foot 1782–1881 [38]",1685,1685 Raised 22 June 1685 as Sir William Clifton's Regiment of Foot. [38]
16,/wiki/16th_Regiment_of_Foot,16th Regiment of Foot 1751–1782 16th (Buckinghamshire) Regiment of Foot 1782–1809 [39] 16th (Bedfordshire) Regiment of Foot 1809–1881 [12] [39],1688,1688 Raised 10 September 1688 as Archibald Douglas's Regiment of Foot. [39]
17,/wiki/17th_Regiment_of_Foot,17th Regiment of Foot 1751–1782 17th (Leicestershire) Regiment of Foot 1782–1881 [40],1688,1688 Raised 27 September 1688 as Solomon Richard's Regiment of Foot. [40]
